,track name,artists,album,release year,playlist name,track id,playlist id,popularity
69,no mana,"cybersona888, cupsy",no mana,2023,chill cybercore  🩻💎💿  ,6BuWjuUNNdoBnQmW9N5Pnu,5HM6ef3qfyK4mm6g7f3uDd,14
70,Puddle of Nitrogen,Acetantina,Temple of Null,2020,chill cybercore  🩻💎💿  ,69OVnCNC0SB8EsLsq51lQF,5HM6ef3qfyK4mm6g7f3uDd,0
71,Hero!,11vx,Hero!,2021,chill cybercore  🩻💎💿  ,509NzRvzuITtt1q6YAGGmd,5HM6ef3qfyK4mm6g7f3uDd,39
72,iron,11vx,iron,2022,chill cybercore  🩻💎💿  ,5JYNevsuHpRonwpKV9zAUS,5HM6ef3qfyK4mm6g7f3uDd,30
73,Fuji,Nedaj,Fuji,2021,chill cybercore  🩻💎💿  ,3sceNZTdQ1CSlSULPbGlV2,5HM6ef3qfyK4mm6g7f3uDd,39
74,APATHY,hxly xo,APATHY,2023,chill cybercore  🩻💎💿  ,7wuyiKj0YXlAikWBExkoid,5HM6ef3qfyK4mm6g7f3uDd,27
75,Cyber Highway,Vorrnn,CALV3RA REV3R,2022,chill cybercore  🩻💎💿  ,55dg3f6KxZ5L3mKbEJbVtm,5HM6ef3qfyK4mm6g7f3uDd,6
76,FINAL FANTASY,black balloons,FINAL FANTASY,2022,chill cybercore  🩻💎💿  ,2219puT2YzNNVEQ784V2jt,5HM6ef3qfyK4mm6g7f3uDd,27
77,blue memories,2 0 2 1,reverie,2022,chill cybercore  🩻💎💿  ,3OC5dXo3M0IOb707kutpQb,5HM6ef3qfyK4mm6g7f3uDd,25
78,K.I.D.S.,"Ftlframe, BBAudio",AUDIO GIRL LAIN,2023,chill cybercore  🩻💎💿  ,5WEoEw7P3u2yHZYRcBjJ2J,5HM6ef3qfyK4mm6g7f3uDd,29
79,apartment complex lovers,"TURQUOISEDEATH, 2 0 2 1",apartment complex lovers,2022,chill cybercore  🩻💎💿  ,2Ub9pOiOeKLDRuFkQkSx3v,5HM6ef3qfyK4mm6g7f3uDd,20
80,Aleph,"dreamstation, Nohidea","Dreamcore, Vol. 1",2023,chill cybercore  🩻💎💿  ,5s9BqdP0WJZdTvIPRgpmd4,5HM6ef3qfyK4mm6g7f3uDd,0
81,ominous,Blksmiith,ominous,2022,chill cybercore  🩻💎💿  ,3c9mVzBIZYzLL1hh8rJlqo,5HM6ef3qfyK4mm6g7f3uDd,0
82,b4 - TOKYOPILL Remix,"Heatace, TOKYOPILL",b4 (TOKYOPILL Remix),2022,chill cybercore  🩻💎💿  ,4NUhP03UEsCp2L76QwZqjp,5HM6ef3qfyK4mm6g7f3uDd,30
83,effervEsce,AKIBA,and then i woke up,2022,chill cybercore  🩻💎💿  ,582QLzfQA32QA43fiezx2e,5HM6ef3qfyK4mm6g7f3uDd,19
84,Gargoyle,"dreamstation, Downhill2k01","Dreamcore, Vol. 1",2023,chill cybercore  🩻💎💿  ,2VIPWaQYHhaM9LokOrndCU,5HM6ef3qfyK4mm6g7f3uDd,0
85,Subterranean Loner,Ftlframe,Overdrive Dreams,2022,chill cybercore  🩻💎💿  ,1SwIVRPPKALdsLtRQKQKrE,5HM6ef3qfyK4mm6g7f3uDd,37
86,why as soon as we become so close we have to say goodbye,snafu,why as soon as we become so close we have to say goodbye,2021,chill cybercore  🩻💎💿  ,5qzGqhLV6fHbXpSdqqal6w,5HM6ef3qfyK4mm6g7f3uDd,37
87,Ascent,JVNLIII,DEFCON,2022,chill cybercore  🩻💎💿  ,4wdtRi4gmtm023tfXa7Xwp,5HM6ef3qfyK4mm6g7f3uDd,7
88,Return to the nhk,Goreshit,mlsfaw,2020,chill cybercore  🩻💎💿  ,6SXaZbw9FXs0CTkqMprE2U,5HM6ef3qfyK4mm6g7f3uDd,17
89,yearning,Ftlframe,clouds,2022,chill cybercore  🩻💎💿  ,3k5ppju3wLsy4NMnmuXlz4,5HM6ef3qfyK4mm6g7f3uDd,27
